[13:14:26.227 verbose] Detected PBES extension.
[13:14:26.244 verbose] pbes2bool parameters:
[13:14:26.244 verbose]   input file:         model/model.req5.pbes
[13:14:26.244 verbose]   data rewriter:      jittyc
[13:14:26.244 verbose]   pbes rewriter:      1
[13:14:26.272 verbose] using 'mcrl2compilerewriter' to compile rewriter.
[13:14:26.306 verbose] compiling rewriter...
[13:14:32.855 verbose] loading rewriter...
[13:14:32.856 verbose] Retrieving pbes_equations from equation system...
[13:14:32.860 verbose] Computing a BES from the PBES....
[13:16:43.568 verbose] Processed 266000 and generated 289207 boolean variables
[13:16:44.134 verbose] Processed 267000 and generated 290212 boolean variables
[13:16:44.690 verbose] Processed 268000 and generated 291338 boolean variables
[13:16:45.222 verbose] Processed 269000 and generated 292465 boolean variables
[13:16:45.752 verbose] Processed 270000 and generated 293656 boolean variables
[13:16:46.223 verbose] Processed 271000 and generated 294836 boolean variables
[13:16:46.759 verbose] Processed 272000 and generated 295966 boolean variables
[13:16:47.285 verbose] Processed 273000 and generated 297211 boolean variables
[13:16:47.733 verbose] Processed 274000 and generated 298397 boolean variables
[13:16:48.251 verbose] Processed 275000 and generated 299528 boolean variables
[13:16:48.711 verbose] Processed 276000 and generated 300687 boolean variables
[13:16:49.204 verbose] Processed 277000 and generated 301784 boolean variables
[13:16:49.681 verbose] Processed 278000 and generated 302994 boolean variables
[13:16:50.152 verbose] Processed 279000 and generated 304052 boolean variables
[13:16:50.583 verbose] Processed 280000 and generated 305087 boolean variables
[13:16:51.041 verbose] Processed 281000 and generated 306084 boolean variables
[13:16:51.535 verbose] Processed 282000 and generated 307052 boolean variables
[13:16:52.031 verbose] Processed 283000 and generated 308032 boolean variables
[13:16:52.559 verbose] Processed 284000 and generated 309227 boolean variables
[13:16:53.092 verbose] Processed 285000 and generated 310279 boolean variables
[13:16:53.629 verbose] Processed 286000 and generated 311573 boolean variables
[13:16:54.177 verbose] Processed 287000 and generated 312755 boolean variables
[13:16:54.706 verbose] Processed 288000 and generated 313767 boolean variables
[13:16:55.272 verbose] Processed 289000 and generated 314731 boolean variables
[13:16:55.823 verbose] Processed 290000 and generated 315699 boolean variables
[13:16:56.388 verbose] Processed 291000 and generated 316818 boolean variables
[13:16:56.953 verbose] Processed 292000 and generated 317928 boolean variables
[13:16:57.477 verbose] Processed 293000 and generated 319121 boolean variables
[13:16:58.019 verbose] Processed 294000 and generated 320371 boolean variables
[13:16:58.466 verbose] Processed 295000 and generated 321477 boolean variables
[13:16:59.016 verbose] Processed 296000 and generated 322668 boolean variables
[13:16:59.545 verbose] Processed 297000 and generated 323893 boolean variables
[13:17:00.014 verbose] Processed 298000 and generated 325058 boolean variables
[13:17:00.531 verbose] Processed 299000 and generated 326148 boolean variables
[13:17:01.010 verbose] Processed 300000 and generated 327241 boolean variables
[13:17:01.514 verbose] Processed 301000 and generated 328373 boolean variables
